Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,League,Season,Result,home_avg_GF,away_avg_GF,diff_avg_GF,home_avg_GA,away_avg_GA,diff_avg_GA,home_avg_Shots,away_avg_Shots,diff_avg_Shots,home_avg_ShotsAgainst,away_avg_ShotsAgainst,diff_avg_ShotsAgainst,home_avg_SoT,away_avg_SoT,diff_avg_SoT,home_avg_SoTAgainst,away_avg_SoTAgainst,diff_avg_SoTAgainst,home_avg_Corners,away_avg_Corners,diff_avg_Corners,home_avg_CornersAgainst,away_avg_CornersAgainst,diff_avg_CornersAgainst,home_avg_Fouls,away_avg_Fouls,diff_avg_Fouls,home_avg_FoulsAgainst,away_avg_FoulsAgainst,diff_avg_FoulsAgainst,home_avg_xG,away_avg_xG,diff_avg_xG,home_avg_xG_overperf,away_avg_xG_overperf,diff_avg_xG_overperf,home_Form,away_Form,diff_Form,odds_prob_H,odds_prob_D,odds_prob_A,norm_prob_H,norm_prob_D,norm_prob_A,odds_spread,elo_home_before,elo_away_before,elo_diff,home_rest_days,away_rest_days,rest_advantage,home_fatigued,away_fatigued,h2h_home_wins,h2h_draws,h2h_total_goals_avg
2015-08-29,Bournemouth,Leicester,1.0,1.0,D,1.0,0.0,H,5.0,4.0,2.0,2.0,9.0,19.0,4.0,4.0,2.0,4.0,0.0,0.0,2.2,3.6,3.4,Premier League,1516,1,1.3333333333333333,2.3333333333333335,-1.0000000000000002,1.6666666666666667,1.3333333333333333,0.3333333333333335,13.0,14.333333333333334,-1.333333333333334,11.666666666666666,13.0,-1.333333333333334,3.6666666666666665,5.333333333333333,-1.6666666666666665,3.0,4.666666666666667,-1.666666666666667,6.0,4.0,2.0,4.666666666666667,6.0,-1.333333333333333,14.0,10.666666666666666,3.333333333333334,10.666666666666666,14.0,-3.333333333333334,1.38,1.8699999999999999,-0.49,-0.04666666666666656,0.46333333333333343,-0.51,1.0,2.3333333333333335,-1.3333333333333335,0.45454545454545453,0.2777777777777778,0.29411764705882354,0.4428364688856729,0.2706222865412446,0.2865412445730825,0.1562952243125904,1565.0,1500.0,65.0,,,,0,0,,,
2015-08-29,Chelsea,Crystal Palace,1.0,2.0,A,0.0,0.0,D,26.0,13.0,9.0,6.0,9.0,15.0,7.0,7.0,1.0,1.0,0.0,0.0,1.36,5.0,11.0,Premier League,1516,0,1.6666666666666667,2.0,-0.33333333333333326,2.3333333333333335,1.3333333333333333,1.0000000000000002,12.0,12.666666666666666,-0.6666666666666661,17.0,16.0,1.0,3.6666666666666665,5.666666666666667,-2.0000000000000004,8.0,5.0,3.0,4.0,5.333333333333333,-1.333333333333333,7.0,3.6666666666666665,3.3333333333333335,13.333333333333334,15.333333333333334,-2.0,14.666666666666666,13.666666666666666,1.0,1.3499999999999999,1.91,-0.56,0.3166666666666667,0.09000000000000008,0.22666666666666663,1.3333333333333333,2.0,-0.6666666666666667,0.7352941176470588,0.2,0.09090909090909091,0.7165190203230849,0.19489317352787913,0.08858780614903597,0.627931214174049,1565.0,1500.0,65.0,,,,0,0,,,
2015-08-29,Liverpool,West Ham,0.0,3.0,A,0.0,2.0,A,13.0,12.0,1.0,5.0,17.0,11.0,5.0,7.0,3.0,1.0,1.0,1.0,1.36,5.5,9.0,Premier League,1516,0,0.6666666666666666,2.0,-1.3333333333333335,0.0,2.0,-2.0,13.666666666666666,9.333333333333334,4.333333333333332,13.0,16.0,-3.0,4.333333333333333,3.6666666666666665,0.6666666666666665,2.6666666666666665,6.333333333333333,-3.6666666666666665,6.333333333333333,5.666666666666667,0.6666666666666661,6.0,4.333333333333333,1.666666666666667,13.333333333333334,9.333333333333334,4.0,9.666666666666666,11.666666666666666,-2.0,1.58,1.2699999999999998,0.3100000000000003,-0.9133333333333332,0.7300000000000001,-1.6433333333333333,2.3333333333333335,1.0,1.3333333333333335,0.7352941176470588,0.18181818181818182,0.1111111111111111,0.7151112395261485,0.17682750650101128,0.10806125397284022,0.6070499855533082,1565.0,1500.0,65.0,,,,0,0,,,
2015-08-29,Man City,Watford,2.0,0.0,H,0.0,0.0,D,18.0,7.0,5.0,0.0,9.0,12.0,9.0,3.0,1.0,2.0,0.0,0.0,1.2,8.0,15.0,Premier League,1516,2,2.6666666666666665,0.6666666666666666,2.0,0.0,0.6666666666666666,-0.6666666666666666,17.666666666666668,13.333333333333334,4.333333333333334,9.666666666666666,10.0,-0.3333333333333339,8.0,3.3333333333333335,4.666666666666666,2.0,3.3333333333333335,-1.3333333333333335,6.0,3.0,3.0,5.0,4.666666666666667,0.33333333333333304,11.666666666666666,12.0,-0.3333333333333339,10.0,9.333333333333334,0.6666666666666661,2.69,1.3,1.39,-0.023333333333333133,-0.6333333333333333,0.6100000000000002,3.0,1.0,2.0,0.8333333333333334,0.125,0.06666666666666667,0.8130081300813008,0.1219512195121951,0.06504065040650406,0.7479674796747967,1565.0,1500.0,65.0,,,,0,0,,,
2015-08-29,Newcastle,Arsenal,0.0,1.0,A,0.0,0.0,D,1.0,22.0,0.0,9.0,15.0,8.0,0.0,9.0,6.0,1.0,1.0,0.0,6.0,4.2,1.62,Premier League,1516,0,0.6666666666666666,0.6666666666666666,0.0,1.3333333333333333,1.0,0.33333333333333326,6.666666666666667,20.333333333333332,-13.666666666666664,18.0,11.333333333333334,6.666666666666666,2.0,6.0,-4.0,6.333333333333333,5.333333333333333,1.0,5.0,6.0,-1.0,7.0,6.0,1.0,9.333333333333334,8.666666666666666,0.6666666666666679,12.666666666666666,12.0,0.6666666666666661,0.7399999999999999,2.23,-1.4900000000000002,-0.07333333333333326,-1.5633333333333332,1.49,0.6666666666666666,1.3333333333333333,-0.6666666666666666,0.16666666666666666,0.23809523809523808,0.6172839506172839,0.1630716134598792,0.23295944779982744,0.6039689387402933,-0.44089732528041414,1565.0,1500.0,65.0,,,,0,0,,,
2015-08-29,Stoke,West Brom,0.0,1.0,A,0.0,1.0,A,13.0,15.0,5.0,5.0,4.0,9.0,6.0,5.0,1.0,4.0,2.0,0.0,1.95,3.4,4.5,Premier League,1516,0,1.0,0.6666666666666666,0.33333333333333337,1.3333333333333333,2.0,-0.6666666666666667,9.666666666666666,10.0,-0.3333333333333339,14.0,16.666666666666668,-2.666666666666668,3.0,2.6666666666666665,0.3333333333333335,5.666666666666667,5.666666666666667,0.0,2.0,6.0,-4.0,6.0,5.0,1.0,8.333333333333334,10.333333333333334,-2.0,15.666666666666666,11.333333333333334,4.333333333333332,1.0999999999999999,1.0199999999999998,0.08000000000000007,-0.10000000000000002,-0.3533333333333333,0.25333333333333324,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.5128205128205129,0.29411764705882354,0.2222222222222222,0.49829018075232057,0.28578407425500735,0.21592574499267222,0.2823644357596483,1565.0,1500.0,65.0,,,,0,0,,,
2015-08-29,Tottenham,Everton,0.0,0.0,D,0.0,0.0,D,20.0,8.0,6.0,3.0,20.0,9.0,6.0,2.0,4.0,1.0,0.0,0.0,2.0,3.5,4.2,Premier League,1516,1,1.0,1.6666666666666667,-0.6666666666666667,1.3333333333333333,1.3333333333333333,0.0,13.666666666666666,10.0,3.666666666666666,12.666666666666666,14.666666666666666,-2.0,5.666666666666667,3.3333333333333335,2.3333333333333335,3.3333333333333335,6.0,-2.6666666666666665,4.333333333333333,8.333333333333334,-4.000000000000001,2.0,6.0,-4.0,13.666666666666666,7.333333333333333,6.333333333333333,10.0,10.333333333333334,-0.3333333333333339,1.9400000000000002,1.2,0.7400000000000002,-0.9400000000000001,0.46666666666666673,-1.4066666666666667,0.6666666666666666,1.3333333333333333,-0.6666666666666666,0.5,0.2857142857142857,0.23809523809523808,0.48837209302325585,0.27906976744186046,0.23255813953488372,0.2558139534883721,1565.0,1500.0,65.0,,,,0,0,,,
2015-08-29,Aston Villa,Sunderland,2.0,2.0,D,2.0,1.0,H,21.0,7.0,6.0,3.0,10.0,14.0,5.0,4.0,2.0,1.0,0.0,0.0,1.91,3.5,4.75,Premier League,1516,1,0.6666666666666666,1.3333333333333333,-0.6666666666666666,1.0,2.6666666666666665,-1.6666666666666665,7.666666666666667,8.666666666666666,-0.9999999999999991,12.0,19.333333333333332,-7.333333333333332,2.0,3.0,-1.0,3.3333333333333335,7.666666666666667,-4.333333333333334,3.3333333333333335,4.0,-0.6666666666666665,5.666666666666667,5.333333333333333,0.3333333333333339,14.0,13.333333333333334,0.6666666666666661,11.666666666666666,9.666666666666666,2.0,0.77,1.07,-0.30000000000000004,-0.10333333333333333,0.26333333333333336,-0.3666666666666667,1.0,0.3333333333333333,0.6666666666666667,0.5235602094240838,0.2857142857142857,0.21052631578947367,0.5133945804060835,0.2801667567358913,0.20643866285802517,0.3069559175480584,1565.0,1500.0,65.0,,,,0,0,,,
2015-08-30,Swansea,Man United,2.0,1.0,H,0.0,0.0,D,9.0,11.0,4.0,4.0,6.0,15.0,0.0,1.0,2.0,2.0,0.0,0.0,3.6,3.3,2.25,Premier League,1516,2,1.6666666666666667,0.6666666666666666,1.0,1.0,0.0,1.0,19.0,12.666666666666666,6.333333333333334,8.333333333333334,7.0,1.333333333333334,8.333333333333334,3.6666666666666665,4.666666666666668,2.3333333333333335,1.6666666666666667,0.6666666666666667,5.333333333333333,5.666666666666667,-0.3333333333333339,3.6666666666666665,3.3333333333333335,0.33333333333333304,12.0,12.333333333333334,-0.3333333333333339,13.0,12.333333333333334,0.6666666666666661,2.8200000000000003,1.3699999999999999,1.4500000000000004,-1.1533333333333333,-0.7033333333333333,-0.45000000000000007,1.6666666666666667,2.3333333333333335,-0.6666666666666667,0.2777777777777778,0.30303030303030304,0.4444444444444444,0.270935960591133,0.29556650246305416,0.4334975369458128,-0.16256157635467977,1565.0,1500.0,65.0,,,,0,0,,,
2015-08-30,Southampton,Norwich,3.0,0.0,H,1.0,0.0,H,23.0,6.0,8.0,1.0,4.0,12.0,6.0,4.0,0.0,0.0,0.0,1.0,2.05,3.5,4.0,Premier League,1516,2,0.6666666666666666,1.6666666666666667,-1.0,1.6666666666666667,1.6666666666666667,0.0,15.333333333333334,19.0,-3.666666666666666,10.666666666666666,7.666666666666667,2.999999999999999,4.666666666666667,6.333333333333333,-1.666666666666666,2.6666666666666665,3.3333333333333335,-0.666666666666667,5.666666666666667,5.333333333333333,0.3333333333333339,6.666666666666667,3.3333333333333335,3.3333333333333335,11.333333333333334,12.333333333333334,-1.0,9.666666666666666,10.666666666666666,-1.0,1.72,2.28,-0.5599999999999998,-1.0533333333333335,-0.6133333333333333,-0.44000000000000017,0.6666666666666666,1.3333333333333333,-0.6666666666666666,0.48780487804878053,0.2857142857142857,0.25,0.4765957446808511,0.27914893617021275,0.24425531914893614,0.23234042553191495,1565.0,1500.0,65.0,,,,0,0,,,
